startPoints.lat	startPoints.lon	endPoints.lat	endPoints.lon
47.620192	-122.298	47.614649	-122.338795
47.618069	-122.35567	47.660419	-122.332577
47.622569	-122.330444	47.626243	-122.341339
47.670911	-122.361534	47.652359	-122.315959
47.616497	-122.341912	47.621463	-122.339772
47.617112	-122.320904	47.689403	-122.375487
47.644493	-122.325412	47.661782	-122.31657
47.622044	-122.337657	47.653298	-122.35127
47.661782	-122.31657	47.664359	-122.303403
47.658833	-122.320794	47.612926	-122.317233
47.612656	-122.340572	47.635705	-122.347105
47.614583	-122.340747	47.624294	-122.331396
47.646873	-122.359369	47.646875	-122.359126
47.605441	-122.338498	47.606732	-122.316793
47.622664	-122.310025	47.605213	-122.317218
47.625299	-122.356708	47.650753	-122.335117
47.617924	-122.352268	47.64913	-122.378921
47.612927	-122.317237	47.67091	-122.361535
47.579804	-122.334713	47.613091	-122.346887
47.653299	-122.35127	47.655428	-122.329076
47.635705	-122.347105	47.619697	-122.337663
47.63055	-122.344188	47.605671	-122.329527
47.604106	-122.337605	47.615078	-122.333523
47.669712	-122.322864	47.60544	-122.338498
47.609199	-122.309208	47.622649	-122.331743
47.646875	-122.359126	47.614151	-122.335989
47.605213	-122.317219	47.633091	-122.301074
47.614773	-122.318133	47.614577	-122.319463
47.616018	-122.337043	47.616868	-122.33741
47.668517	-122.286525	47.690198	-122.289026
47.624287	-122.359338	47.613221	-122.314213
47.633092	-122.301075	47.608034	-122.314377
47.621462	-122.339772	47.611216	-122.332984
47.624294	-122.331396	47.627968	-122.300369
47.61309	-122.34689	47.680742	-122.356002
47.615075	-122.333518	47.602632	-122.335902
47.59494	-122.324419	47.596271	-122.326408
47.635389	-122.340441	47.614149	-122.343308
47.680742	-122.356002	47.668937	-122.382141
47.63516	-122.340439	47.615414	-122.342136
47.626243	-122.341342	47.604533	-122.337666
47.616869	-122.337409	47.619537	-122.335887
47.600876	-122.325297	47.628209	-122.308627
47.692149	-122.304532	47.687384	-122.306799
47.652359	-122.315958	47.658129	-122.313213
47.614577	-122.319463	47.616029	-122.320819
47.619537	-122.335887	47.631779	-122.307244
47.628208	-122.308627	47.612553	-122.319876
47.604531	-122.337664	47.629382	-122.342326
47.602631	-122.335901	47.674977	-122.317723
47.615457	-122.342075	47.673017	-122.292184
47.65813	-122.313213	47.629571	-122.308617
47.636344	-122.373938	47.613669	-122.345064
47.674229	-122.403541	47.663487	-122.317419
47.61415	-122.343307	47.61972	-122.338028
47.690944	-122.291403	47.703288	-122.343031
47.622649	-122.331743	47.619299	-122.352837
47.579983	-122.304146	47.662395	-122.316461
47.596272	-122.326408	47.610373	-122.307307
47.629571	-122.308617	47.621093	-122.320154
47.61972	-122.338028	47.630389	-122.346256
47.598274	-122.333151	47.616993	-122.318179
47.674459	-122.406375	47.666051	-122.382157
47.650754	-122.335117	47.600891	-122.331892
47.662395	-122.31646	47.674775	-122.307824
47.610373	-122.307306	47.62784	-122.306051
47.668935	-122.382141	47.679211	-122.354374
47.616993	-122.318179	47.623676	-122.292897
47.621093	-122.320152	47.668683	-122.388974
47.619299	-122.352837	47.64689	-122.353735
47.690198	-122.289024	47.680875	-122.318411
47.651903	-122.377526	47.63229	-122.345584
47.703288	-122.343032	47.693853	-122.294566
47.613221	-122.314213	47.618637	-122.30365
47.606732	-122.316793	47.628461	-122.307294
47.629386	-122.342326	47.669051	-122.373661
47.616029	-122.320819	47.611589	-122.299277
47.663483	-122.317419	47.668647	-122.373281
47.668683	-122.388971	47.646817	-122.334466
47.600891	-122.331891	47.598063	-122.326394
47.674775	-122.307823	47.674984	-122.315889
47.608036	-122.340831	47.704201	-122.355447
47.674984	-122.315889	47.674436	-122.302744
47.613668	-122.345064	47.693242	-122.356669
47.61062	-122.324451	47.626007	-122.316825
47.612554	-122.319876	47.630051	-122.312497
47.611589	-122.299276	47.616268	-122.314252
47.580974	-122.291148	47.579747	-122.286903
47.673017	-122.292184	47.610842	-122.289354
47.598063	-122.326394	47.686258	-122.328325
47.630051	-122.312497	47.627978	-122.353932
47.586908	-122.306868	47.612292	-122.321722
47.698831	-122.374125	47.650825	-122.34644
47.616269	-122.314252	47.687319	-122.331028
47.666048	-122.382157	47.678889	-122.386445
47.674435	-122.302744	47.614669	-122.312789
47.64689	-122.353735	47.650606	-122.345026
47.650825	-122.346441	47.625713	-122.359036
47.614649	-122.338795	47.63775	-122.342843
47.655298	-122.351113	47.674093	-122.325463
47.668647	-122.373283	47.610059	-122.341619
47.612292	-122.321721	47.673083	-122.386118
47.650605	-122.345024	47.65195	-122.361039
47.680875	-122.318412	47.685506	-122.351109
47.610059	-122.34162	47.643904	-122.372191
47.626008	-122.316825	47.615266	-122.31724
47.611411	-122.333154	47.608949	-122.32367
47.614671	-122.312789	47.636025	-122.324571
47.615266	-122.317241	47.621556	-122.303607
47.630389	-122.346256	47.707849	-122.313789
47.625713	-122.359037	47.714005	-122.29743
47.686256	-122.328325	47.6138	-122.319444
47.627978	-122.353925	47.653926	-122.343777
47.65195	-122.361039	47.598287	-122.331077
47.618638	-122.30365	47.615624	-122.307456
47.579745	-122.286903	47.585362	-122.293011
47.704204	-122.355447	47.666177	-122.383596
47.598287	-122.331077	47.601982	-122.307656
47.6138	-122.319444	47.579958	-122.312845
47.687319	-122.331028	47.614098	-122.323865
47.666177	-122.383596	47.612348	-122.322663
47.614098	-122.323862	47.618264	-122.304414
